2018-06-06 11:16:17,766 DEBUG    [16117] (deoplete.core) Process 0: /home/alexvanaxe/.config/nvim/plugged/deoplete.nvim/rplugin/python3/deoplete/source/base.py
2018-06-06 11:16:17,767 DEBUG    [16117] (deoplete.core) Process 1: /home/alexvanaxe/.config/nvim/plugged/deoplete.nvim/rplugin/python3/deoplete/source/buffer.py
2018-06-06 11:16:17,767 DEBUG    [16117] (deoplete.core) Process 2: /home/alexvanaxe/.config/nvim/plugged/deoplete.nvim/rplugin/python3/deoplete/source/tag.py
2018-06-06 11:16:17,768 DEBUG    [16117] (deoplete.core) Process 3: /home/alexvanaxe/.config/nvim/plugged/deoplete.nvim/rplugin/python3/deoplete/source/omni.py
2018-06-06 11:16:17,768 DEBUG    [16117] (deoplete.core) Process 0: /home/alexvanaxe/.config/nvim/plugged/deoplete.nvim/rplugin/python3/deoplete/source/around.py
2018-06-06 11:16:17,768 DEBUG    [16117] (deoplete.core) Process 1: /home/alexvanaxe/.config/nvim/plugged/deoplete.nvim/rplugin/python3/deoplete/source/dictionary.py
2018-06-06 11:16:17,768 DEBUG    [16117] (deoplete.core) Process 2: /home/alexvanaxe/.config/nvim/plugged/deoplete.nvim/rplugin/python3/deoplete/source/file.py
2018-06-06 11:16:17,768 DEBUG    [16117] (deoplete.core) Process 3: /home/alexvanaxe/.config/nvim/plugged/deoplete.nvim/rplugin/python3/deoplete/source/member.py
2018-06-06 11:16:17,769 DEBUG    [16117] (deoplete.core) Process 0: /home/alexvanaxe/.config/nvim/plugged/deoplete-jedi/rplugin/python3/deoplete/sources/deoplete_jedi.py
2018-06-06 11:16:17,769 DEBUG    [16117] (deoplete.core) Process 1: /home/alexvanaxe/.config/nvim/plugged/ultisnips/rplugin/python3/deoplete/sources/ultisnips.py
2018-06-06 11:16:17,769 DEBUG    [16117] (deoplete.core) Process 2: /home/alexvanaxe/.config/nvim/plugged/nvim-typescript/rplugin/python3/deoplete/sources/typescript.py
2018-06-06 11:16:17,770 DEBUG    [16117] (deoplete.core) Process 3: /home/alexvanaxe/.config/nvim/plugged/django-plus.vim/rplugin/python3/deoplete/sources/django.py
2018-06-06 11:16:17,898 INFO     [16122] (deoplete.logging) --- Deoplete Log Start ---
2018-06-06 11:16:17,899 INFO     [16122] (deoplete.logging) NVIM v0.2.2, Python 3.6.5, neovim client 0.2.6
2018-06-06 11:16:17,900 DEBUG    [16122] (deoplete.child) main_loop: end
2018-06-06 11:16:17,900 DEBUG    [16122] (deoplete.child) main_loop: add_source begin
2018-06-06 11:16:17,900 DEBUG    [16122] (deoplete.child) main_loop: end
2018-06-06 11:16:17,900 DEBUG    [16122] (deoplete.child) main_loop: add_source begin
2018-06-06 11:16:17,900 DEBUG    [16122] (deoplete.child) Loaded Source: around (/home/alexvanaxe/.config/nvim/plugged/deoplete.nvim/rplugin/python3/deoplete/source/around.py)
2018-06-06 11:16:17,900 DEBUG    [16122] (deoplete.child) main_loop: end
2018-06-06 11:16:17,900 DEBUG    [16122] (deoplete.child) main_loop: add_source begin
2018-06-06 11:16:17,902 INFO     [16123] (deoplete.logging) --- Deoplete Log Start ---
